method,context,context_k,stage,dur_us,dur_pct,sm_pct,l2_pct,dram_pct
infllm,16K,16,LAYER,411.71,100.0,12.94,33.12,25.76
infllm,16K,16,attention,65.50,15.9,8.07,20.12,15.09
infllm,16K,16,ffn,239.04,58.1,17.76,45.58,35.58
infllm,16K,16,qkv_pre,58.78,14.3,9.05,23.58,18.76
infllm,16K,16,selection,48.38,11.8,0.43,0.72,0.20
infllm,32K,32,LAYER,414.85,100.0,12.88,33.00,25.59
infllm,32K,32,attention,66.34,16.0,7.96,19.92,14.91
infllm,32K,32,ffn,239.23,57.7,17.74,45.72,35.56
infllm,32K,32,qkv_pre,59.04,14.2,9.00,23.42,18.70
infllm,32K,32,selection,50.24,12.1,0.81,1.01,0.32
infllm,64K,64,LAYER,424.42,100.0,12.68,32.37,25.03
infllm,64K,64,attention,65.63,15.5,8.06,20.32,15.08
infllm,64K,64,ffn,243.52,57.4,17.41,44.99,34.90
infllm,64K,64,qkv_pre,59.36,14.0,8.96,23.31,18.60
infllm,64K,64,selection,55.90,13.2,1.45,1.21,0.52
infllm,128K,128,LAYER,429.92,100.0,12.60,31.96,24.77
infllm,128K,128,attention,65.76,15.3,8.04,20.40,15.06
infllm,128K,128,ffn,242.72,56.5,17.30,44.92,35.04
infllm,128K,128,qkv_pre,58.91,13.7,9.02,23.52,18.67
infllm,128K,128,selection,62.53,14.5,2.50,1.78,0.89
infllm,256K,256,LAYER,445.18,100.0,12.76,31.44,24.09
infllm,256K,256,attention,66.18,14.9,7.98,20.44,14.95
infllm,256K,256,ffn,241.66,54.3,17.56,45.04,35.19
infllm,256K,256,qkv_pre,67.71,15.2,8.86,22.82,16.58
infllm,256K,256,selection,69.63,15.6,4.46,3.03,1.56
infllm,512K,512,LAYER,471.39,100.0,12.61,29.65,22.92
infllm,512K,512,attention,65.66,13.9,8.05,20.26,15.05
infllm,512K,512,ffn,240.61,51.0,17.65,45.24,35.33
infllm,512K,512,qkv_pre,59.23,12.6,8.98,23.44,18.61
infllm,512K,512,selection,105.89,22.5,6.03,3.50,2.02
quest,16K,16,LAYER,417.31,100.0,12.76,32.69,25.25
quest,16K,16,attention,63.94,15.3,7.10,18.87,14.09
quest,16K,16,ffn,239.90,57.5,17.65,45.20,35.45
quest,16K,16,qkv_pre,68.99,16.5,8.67,22.22,16.21
quest,16K,16,selection,44.48,10.7,0.85,1.27,0.37
quest,32K,32,LAYER,410.34,100.0,12.93,32.96,25.68
quest,32K,32,attention,63.58,15.5,7.14,19.40,14.17
quest,32K,32,ffn,240.70,58.7,17.64,45.04,35.34
quest,32K,32,qkv_pre,59.90,14.6,8.86,23.06,18.37
quest,32K,32,selection,46.14,11.2,1.63,1.45,0.65
quest,64K,64,LAYER,422.75,100.0,12.81,32.47,25.02
quest,64K,64,attention,63.94,15.1,7.10,18.75,14.09
quest,64K,64,ffn,240.67,56.9,17.44,45.26,35.32
quest,64K,64,qkv_pre,68.42,16.2,8.77,22.31,16.39
quest,64K,64,selection,49.73,11.8,3.30,2.13,1.12
quest,128K,128,LAYER,434.34,100.0,12.88,31.83,24.49
quest,128K,128,attention,63.20,14.6,7.18,19.34,14.26
quest,128K,128,ffn,243.10,56.0,17.46,44.75,34.98
quest,128K,128,qkv_pre,68.06,15.7,8.82,22.59,16.49
quest,128K,128,selection,59.97,13.8,4.89,3.11,1.80
quest,256K,256,LAYER,437.22,100.0,13.33,31.71,24.52
quest,256K,256,attention,63.30,14.5,7.16,19.16,14.24
quest,256K,256,ffn,240.93,55.1,17.64,45.29,35.30
quest,256K,256,qkv_pre,59.04,13.5,9.00,23.66,18.68
quest,256K,256,selection,73.95,16.9,7.99,4.65,2.88
quest,512K,512,LAYER,468.64,100.0,13.90,30.37,23.32
quest,512K,512,attention,63.90,13.6,7.10,19.12,14.10
quest,512K,512,ffn,238.78,51.0,17.79,45.92,35.60
quest,512K,512,qkv_pre,58.46,12.5,9.09,23.67,18.88
quest,512K,512,selection,107.49,22.9,11.91,6.18,3.93
